scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
A-1,100,2,0.8511405001172534,2.016741249599363,2.2937234495020675,1047.234353577421
A-1,100,4,0.7316194999020809,1.6224268996438695,1.812710179615351,1243.7074620749686
A-1,100,6,0.77766449999217,3.5749137997754588,4.318075559631325,973.5023372083249
A-1,100,8,0.790051499961919,1.4490747001900672,1.5732013402839584,1213.0660803099336
A-1,500,2,0.707177499862155,1.181060800195155,1.2290489603265087,1293.235447448144
A-1,500,4,0.7412664999719709,1.776177099736742,2.067412219575999,1256.2302740246535
A-1,500,6,0.7686194999223517,1.2503895999088854,1.350176319892853,1244.538653242557
A-1,500,8,0.6933375000244268,1.2629535498717814,1.4024419097813734,1369.8237954889985
A-1,1000,2,0.7108024999524787,1.3183129998424192,1.4570977997891532,1312.1059090196452
A-1,1000,4,0.7459195001047192,1.7143271503300639,1.9081150304555194,1178.0419576464305
A-1,1000,6,0.6618185000206722,1.1379911504491247,1.2493758306345626,1388.7093210257651
A-1,1000,8,0.6888569998864114,1.772243850086852,2.041027970049072,1279.2908020957584
