scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
B-1,100,2,0.5342770000424935,20.93157099752716,27.078538196547015,521.6226679800245
B-1,100,4,0.5322525003066403,1.0512619005567103,1.1746299808692129,1805.588658254306
B-1,100,6,0.4722575004052487,1.3649680006892595,1.5262984009132197,1795.221264233856
B-1,100,8,0.4975869996997062,1.120856349098176,1.2685920688272745,1805.8521170226072
B-1,500,2,0.45438149936671834,1.1755639018701913,1.3686983823026821,1969.617080558811
B-1,500,4,0.450960500529618,1.2877572487923317,1.5222882482339628,1936.3596054443117
B-1,500,6,0.5137530006322777,1.9564935487323964,2.363299508306227,1594.9736634757292
B-1,500,8,0.4431495008248021,1.3661709987900394,1.5991157987991755,1914.3515295330242
B-1,1000,2,0.7576839998364449,2.5864381988867535,3.1171380386149394,1135.3221073205589
B-1,1000,4,0.684876999912376,1.3485361992024991,1.4846968390884285,1356.116451379962
B-1,1000,6,0.6334009995043743,1.2608349000402086,1.4135333799094951,1457.3909176424263
B-1,1000,8,0.7552085007773712,1.458311449005123,1.6032038887897215,1195.3528029157465
