scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
C-1,100,2,0.3704409991769353,0.7427232992995414,0.7625030586132198,2673.314307096684
C-1,100,4,0.391449500057206,0.7836945518647553,0.7965509125642711,2442.7809101387447
C-1,100,6,0.44223799977771705,1.0241690487418964,1.0660786083280982,1970.3070781082608
C-1,100,8,0.3730140006155125,0.7318600989492552,0.745692818727548,2670.7404371483317
C-1,500,2,0.10551349987508729,0.23519145215686876,0.2575614926900016,8817.276932105211
C-1,500,4,0.0668125003358,0.09472394986005384,0.0996303897954931,14060.406306329507
C-1,500,6,0.1655040005061892,0.2615824991153204,0.27285089880024316,5782.64316999095
C-1,500,8,0.06475749978562817,0.11979944829363376,0.13470708770910278,14567.851961556753
C-1,1000,2,0.06821350052632624,0.1572946010128362,0.17421172138710972,12702.929289886704
C-1,1000,4,0.06210850006027613,0.09730200044941739,0.10685000032026437,15397.407071805417
C-1,1000,6,0.059691001297323965,0.08540770122635877,0.09223034150636522,16080.09171291176
C-1,1000,8,0.2511765005692723,0.6456676995185262,0.7398039392319333,3600.2861511094525
