scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
B-1,100,2,0.5345829999896523,2.3385780498415443,2.83984760976864,1497.3278686541814
B-1,100,4,0.5471674999171228,0.9788802501134342,1.0174176501459442,1701.4166845972186
B-1,100,6,0.5507995000471055,1.164179649970265,1.3029279300030794,1699.5258662775618
B-1,100,8,0.596506000078989,1.5303321497185607,1.7282120295885761,1464.3125791908944
B-1,500,2,0.36784099995657016,1.0431092997464475,1.2235154596260145,2341.539805904248
B-1,500,4,0.4903214999103511,0.9795283002404175,1.069391260325574,1889.4512315608845
B-1,500,6,0.45620650007549557,1.1474170999576927,1.2823290199435178,1900.6756331892395
B-1,500,8,0.48058599998057616,0.9551215000783486,1.0012643001164179,1793.2742174618375
B-1,1000,2,0.3929949999701421,1.2037359501960054,1.4206607902474389,2186.311329835996
B-1,1000,4,0.9109429998943597,2.231054050025705,2.5179028100319556,1014.8455668956137
B-1,1000,6,0.7771489999868209,1.7275011500942128,1.9945754301306808,1203.9931637282646
B-1,1000,8,0.6225185001085265,1.210213000058502,1.2695074000748718,1367.9375946852622
