scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
C-1,100,2,0.5493680000654422,3.2303084000886884,3.975462480084389,1675.664987652662
C-1,100,4,0.5349089999526768,1.2624657499827663,1.4470171499442586,2366.9395354907315
C-1,100,6,0.6165249999412481,1.2073639001073388,1.3130703801152777,1834.9105307462532
C-1,100,8,0.5560689999128954,1.5333545499515822,1.7343197100080943,1718.2605909996537
C-1,500,2,0.06913199990776775,0.9150456497536652,1.1447947297438077,7080.77894281198
C-1,500,4,0.3154565001750598,1.500483249969875,1.7840918500269254,2581.3019778431603
C-1,500,6,0.05871300027138204,0.5160477504659866,0.6503599506913815,10688.282649431934
C-1,500,8,0.09536999982628913,0.7234317495885989,0.8388943494674095,5571.347230244264
C-1,1000,2,0.08948749996307015,0.6706809996785523,0.8115249994580154,6719.707558290644
C-1,1000,4,0.0611800001024676,0.6104940505792911,0.7723740107940102,9862.487338165633
C-1,1000,6,0.06680950014015252,0.6453766999356958,0.7721697398437755,7002.60006514056
C-1,1000,8,0.20222850002937776,0.45530099978350336,0.48678739975002827,4734.220842175775
