scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
A-1,10000,4,181.7776235002384,200.4754862500704,212.78561666049427,5.445363620226267
A-1,10000,8,180.05402600010711,199.71007464996546,209.71777457024473,5.489617420011827
A-1,10000,12,182.826805500099,191.90686295019077,196.8352187007713,5.460146336252753
A-1,10000,16,183.46449299997403,193.49671099967054,208.4840538799108,5.426367199377778
A-1,40000,4,185.5131780002921,194.77581700011797,200.06024276996868,5.377010322751135
A-1,40000,8,186.7354804999195,203.35462235070736,218.51496003955617,5.323005326966709
A-1,40000,12,187.38387999974293,196.63545725015865,202.9730153201308,5.325806093503343
A-1,40000,16,190.73393550024775,202.65033469918308,208.11232759964696,5.216411809630324
A-1,100000,4,192.8339959999903,203.16874194950287,209.10567649027143,5.170874346693146
A-1,100000,8,192.5993665004171,202.34988300016994,206.3691706105692,5.179603370227883
A-1,100000,12,192.83219049975742,206.4959742998326,223.1104248200154,5.1481770340413275
A-1,100000,16,189.82010550007544,197.77552124987778,200.4805751002914,5.260461326334182
