scenario,scale_up,depth,p50_ms,p95_ms,p99_ms,tps
B-1,10000,4,192.1586140006184,201.80870989979667,205.70765805005976,5.18496930910331
B-1,10000,8,189.4711909999387,201.96125400029814,206.71033793058996,5.253340608026498
B-1,10000,12,188.83678900010636,197.68882910034336,204.43568177992347,5.270726154556634
B-1,10000,16,189.91634100029842,207.84266799969373,217.7392178291575,5.224652203323452
B-1,40000,4,190.1045080003314,199.31103285071003,209.49291875983363,5.2458711270184555
B-1,40000,8,189.62547399996765,197.6002854994931,203.25213597951915,5.27646766779105
B-1,40000,12,189.14715500022794,204.20619945011822,213.65365961986754,5.2469895502265835
B-1,40000,16,191.2201259997346,199.47434819982846,203.82298527973035,5.236621451956842
B-1,100000,4,193.31041600025856,209.76888695031448,220.89559802006988,5.12577707756937
B-1,100000,8,190.96024399959788,198.79437630042958,202.28587504973802,5.2318299974048355
B-1,100000,12,193.5932625001442,208.8430590500593,223.00417802963239,5.140979497069427
B-1,100000,16,189.98256450049666,198.05663360039034,200.99012249012048,5.255424554377745
